INFOCODE,TICKER,DSMNEM,SEDOL,DSQTNAME,DSCMPYNAME,TYPECODE,PRIMARYEXCHANGEMIC,PRIMARYEXCHANGENAME,CURRENCY,STATUSCODE,ISACTIVE,LISTINGSTARTDATE,DELISTDATE
49373,BTCU,U:BTCU,B15DY86,COMMUNITY BNK.TST.UTS. DEAD - DELIST.31/05/11,CMTY.BANKERS TST.CORP.,EQ,XASE,NYSE American,USD,D,False,2006-06-05T00:00:00,2011-05-31T00:00:00
49378,NBXH,@NBXH,B0R89R6,MGST.9% TARGETED INC. STGC.RTN.SECS. DEAD - DELIST.27/10/11,MORGAN STANLEY,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,2005-12-06T00:00:00,2011-10-27T00:00:00
49381,EXC,@EXC,2670519,EXELON,EXELON CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1973-01-02T00:00:00,
49383,MBCRQ,@MBCRQ,2795285,MERCANTILE BANCORP DEAD - DELIST.01/07/14,MERCANTILE BANCORP INCO.,EQ,PINC,OTC Pnk Current Info,USD,D,False,2002-06-05T00:00:00,2014-07-01T00:00:00
49385,BCBP,@BCBP,2848253,BCB BANCORP,BCB BANCORP INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,2002-05-22T00:00:00,
49389,DKC,U:DKC,2111869,SATURNS GE.CAP.BACKED 2002-14 6.00% MSDW STR. DEAD - DELIST.26/04/11,SATURNS GE.CAP.BACKED,EQ,XNYS,New York SE,USD,D,False,2002-11-26T00:00:00,2011-04-26T00:00:00
49393,HGYN,@HGYN,BP4X0L0,HONG YUAN HLDG GROUP,HONG YUAN HOLDING GROUP,EQ,OTCB,OTC - QB,USD,A,True,2005-11-04T00:00:00,
49395,LSAK,@LSAK,B0B0WZ7,LESAKA TECHNOLOGIES,LESAKA TECHS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1997-10-06T00:00:00,
49403,GRT,U:GRT,2371696,GLIMCHER REAL.TST. DEAD - ACQD.BY 8895Q6,GLIMCHER REALTY TRUST,EQ,XNYS,New York SE,USD,D,False,1994-01-20T00:00:00,2015-01-16T00:00:00
49404,ORIT,@ORIT,B3SLD95,ORITANI FINANCIAL DEAD - DELIST.02/12/19,ORITANI FINANCIAL CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2007-01-24T00:00:00,2019-12-02T00:00:00
49405,TM,U:TM,2898957,TOYOTA MOTOR ADR 1:10,TOYOTA MOTOR CORPORATION,ADR,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49409,ORBC,@ORBC,B19FR01,ORBCOMM DEAD - DELIST.02/09/21,ORBCOMM INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2006-11-03T00:00:00,2021-09-02T00:00:00
49410,ANRZQ,@ANRZQ,B066NX5,ALPHA NATURAL RESOURCES DEAD - DELIST.27/07/16,ALPHA NATURAL RES.INCO.,EQ,PINL,OTC Pnk Limited Info,USD,D,False,2005-02-15T00:00:00,2016-07-27T00:00:00
49413,HEOP,@HEOP,2550354,HERITAGE OAKS BANCORP DEAD - DELIST.03/04/17,HERITAGE OAKS BANCORP,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,1999-10-19T00:00:00,2017-04-03T00:00:00
49415,DEP,U:DEP,B1PRV98,DUNCAN ENERGY PTNS. DEAD - DELIST.08/09/11,DUNCAN ENERGY PTNS.LP.,EQ,XNYS,New York SE,USD,D,False,2007-01-31T00:00:00,2011-09-08T00:00:00
49427,ACTA,@ACTA,BQQD145,ACTUA DEAD - DELIST.20/04/18,ACTUA CORP.,EQ,OTCB,OTCQB,USD,D,False,1999-08-05T00:00:00,2018-04-20T00:00:00
49432,SAYPY,@SAYPY,2756743,SATYAM CMP.SVS.ADR 1:2 DEAD - DELIST.19/03/12,SATYAM COMPUTER SVS.LTD.,ADR,PINX,Pink OTC Markets,USD,D,False,2001-05-16T00:00:00,2012-03-10T00:00:00
49435,VLTR,@VLTR,B018W17,VOLTERRA SEMICON. DEAD - ACQD.BY 771830,VOLTERRA SEMICON.CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2004-07-29T00:00:00,2013-10-02T00:00:00
49436,EVRI,U:EVRI,BYV34V4,EVERI HOLDINGS DEAD - DELIST.01/07/25,EVERI HOLDINGS INCO.,EQ,XNYS,New York SE,USD,D,False,2005-09-23T00:00:00,2025-07-01T00:00:00
49441,SRI,U:SRI,2111977,STONERIDGE,STONERIDGE INCO.,EQ,XNYS,New York SE,USD,A,True,1997-10-10T00:00:00,
49443,EBAY,@EBAY,2293819,EBAY,EBAY INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1998-09-25T00:00:00,
49444,LFCHY,@LFCHY,2196963,CHINA LIFE INS ADR 1:5 DEAD - DELIST.11/11/22,CHINA LIFE IN.CO.LTD.,ADR,PINC,OTC Pnk Currnt Info,USD,D,False,2003-12-17T00:00:00,2022-11-11T00:00:00
49445,DCTH,@DCTH,BK228T8,DELCATH SYS,DELCATH SYSTEMS INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,2001-10-23T00:00:00,
49457,ISTA,@ISTA,2081638,ISTA PHARMS. DEAD - DELIST.18/06/12,ISTA PHARMS.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,2000-08-22T00:00:00,2012-06-18T00:00:00
49459,DOV,U:DOV,2278407,DOVER,DOVER CORP.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49461,FRPH,@FRPH,BTCB1W2,FRP HOLDINGS,FRP HOLDINGS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1986-07-02T00:00:00,
49465,HBIO,@HBIO,BV4J1X9,HARVARD BIOSCIENCE,HARVARD BIOSCIENCE INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,2000-12-07T00:00:00,
49469,ALOT,@ALOT,2060358,ASTRONOVA,ASTRONOVA INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,1980-11-14T00:00:00,
49480,ET,U:ET,B0WHXD2,ENERGY TRANSFER (NYS) UNITS,ENERGY TRANSFER LP,EQ,XNYS,New York SE,USD,A,True,2006-02-03T00:00:00,
49481,INOC,@INOC,2243847,INNOTRAC DEAD - DELIST.07/01/14,INNOTRAC CORP.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,1998-05-07T00:00:00,2014-01-07T00:00:00
49494,EEP,U:EEP,2501534,ENBRIDGE ENERGY PTNS.LP DEAD - DELIST.21/12/18,ENBRIDGE ENERGY PTNS.LP,EQ,XNYS,New York SE,USD,D,False,1991-12-20T00:00:00,2018-12-21T00:00:00
49495,MNRK,@MNRK,2920850,MONARCH FINANCIAL HDG. DEAD - DELIST.27/06/16,MONARCH FINL.HDG.INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,2003-07-16T00:00:00,2016-06-27T00:00:00
49497,NHC,U:NHC,2139731,NATIONAL HEALTHCARE NEW,NATIONAL HLTHCR.CORP.,EQ,XASE,NYSE American,USD,A,True,1998-01-02T00:00:00,
49498,LAVA,@LAVA,2814265,MAGMA DSGN.AUTOMATION DEAD - ACQD.BY 325059,MAGMA DSGN.ATMTN.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,2001-11-20T00:00:00,2012-02-23T00:00:00
49504,GSIH,@GSIH,BYVBCJ2,GENERAL STEEL HDG.,GENERAL STEEL HDG.INCO.,EQ,EXPM,OTC Expert Mkt,USD,A,True,2004-10-20T00:00:00,
49508,CRH,U:CRH,2160816,CRH ADR 1:1 DEAD - DELIST.23/09/23,CRH PLC.,ADR,XNYS,New York SE,USD,D,False,1989-07-10T00:00:00,2023-09-23T00:00:00
49517,SID,U:SID,2220936,SIDERURGICA NACIONAL ON ADR 1:1,CMPH.SIDER.NAC.SA,ADR,XNYS,New York SE,USD,A,True,1994-12-27T00:00:00,
49520,ARII,@ARII,B0WR837,AMERICAN RAILCAR INDS. DEAD - DELIST.07/12/18,AMER.RAILCAR INDS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2006-01-20T00:00:00,2018-12-07T00:00:00
49521,PER,U:PER,2383549,PEROT SYS. DEAD - DELIST.16/11/09,PEROT SYS.CORP.,EQ,XNYS,New York SE,USD,D,False,1999-02-02T00:00:00,2009-11-03T00:00:00
49524,MD,U:MD,2677640,PEDIATRIX MEDICAL GROUP,PEDIATRIX MED.GP.INCO.,EQ,XNYS,New York SE,USD,A,True,1995-09-20T00:00:00,
49527,CENTA,@CENTA,B1P36Y6,CENTRAL GDN.& PET 'A' NV.,CENTRAL GARDEN & PET CO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2007-02-06T00:00:00,
49529,PLPC,@PLPC,2798466,PREFORMED LINE PRODUCTS,PREFORMED LINE PRDS.CO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1996-09-12T00:00:00,
49532,DRJ,U:DRJ,B1Q00D3,DREAMS DEAD - DELIST.07/06/12,DREAMS INCO.,EQ,XASE,NYSE American,USD,D,False,1989-04-03T00:00:00,2012-06-07T00:00:00
49537,ROK,U:ROK,2754060,ROCKWELL AUTOMATION,ROCKWELL ATMTN.INCO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49546,DUSA,@DUSA,2264752,DUSA PHARMACEUTICALS DEAD - ACQD.BY 131622,DUSA PHARMS.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,1992-01-29T00:00:00,2012-12-21T00:00:00
49550,HURN,@HURN,B018V76,HURON CNSL.GP.,HURON CNSL.GP.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2004-10-13T00:00:00,
49551,CPX,U:CPX,B131P67,COMPLETE PRDN.SVS. DEAD - ACQD.BY 326261,COMPLETE PRDN.SVS.INCO.,EQ,XNYS,New York SE,USD,D,False,2006-04-21T00:00:00,2012-02-08T00:00:00
49560,BELFA,@BELFA,2279886,BEL FUSE 'A',BEL FUSE INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1998-07-10T00:00:00,
49562,III,@III,B1R0CV4,INFORMATION SVS.GP.,INFORMATION SVS.GP.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,2007-02-12T00:00:00,
49563,KFRC,U:KFRC,2746982,KFORCE,KFORCE INCO.,EQ,XNYS,New York SE,USD,A,True,1995-08-15T00:00:00,
49564,KELYA,@KELYA,2487117,KELLY SERVICES 'A',KELLY SERVICES INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1973-01-02T00:00:00,
49568,CBCRQ,@CBCRQ,2175081,CAPITOL BANC. DEAD - DELIST.06/02/14,CAPITOL BANC.LTD.,EQ,OTCB,OTCQB,USD,D,False,1989-11-22T00:00:00,2014-02-06T00:00:00
49570,JPMX,U:JPMX,2918264,JP MORGAN CHASE CAP.XII 6.250% CAP.SECS. DEAD - DELIST.08/05/13,JP MORGAN CHASE CAP.XII,EQ,XNYS,New York SE,USD,D,False,2003-09-30T00:00:00,2013-05-08T00:00:00
49572,MBVT,@MBVT,2580715,MERCHANTS BANCSHARES DEAD - DELIST.15/05/17,MERCHANTS BCSH.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1985-09-06T00:00:00,2017-05-15T00:00:00
49574,FAST,@FAST,2332262,FASTENAL,FASTENAL COMPANY,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1987-08-20T00:00:00,
49581,DIET,@DIET,2823261,EDIETS.COM DEAD - DELIST.11/03/13,EDIETS.COM INCO.,EQ,OTCB,OTCQB US Registered,USD,D,False,2000-06-27T00:00:00,2013-03-11T00:00:00
49582,GLBC,@GLBC,2222675,GLOBAL CROSSING DEAD - ACQD.BY 879439,GLOBAL CROSSING LTD.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2003-12-11T00:00:00,2011-10-05T00:00:00
49584,OSIS,@OSIS,2111579,OSI SYSTEMS,OSI SYSTEMS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1997-10-14T00:00:00,
49588,STC,U:STC,2848736,STEWART INFO.SVS.,STEWART INFO.SVS.CORP.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49593,MLSS,U:MLSS,2323352,MILESTONE SCIEN.,MILESTONE SCIEN.INCO.,EQ,XASE,NYSE American,USD,A,True,1999-09-06T00:00:00,
