ticker,infocode,quantity
REG,56638,64
RES,56643,-343
RGA,56647,13
RLI,56660,-71
RMD,56662,11
PLXS,56679,-48
PNFP,56709,-59
POOL,56737,35
POWL,56747,33
NTRS,56754,46
ORKA,56766,-1901
NVAX,56768,-250
NWPX,56803,-24
NWBI,56806,-29
NXST,56816,30
OCFC,56842,-435
ENTG,56945,-3
EQIX,56976,0
EA,56992,-57
TFC,57047,24
BBY,57050,29
BCO,57051,-4
BDX,57061,-256
BF.B,57064,-142
BHE,57075,68
BNY,57084,58
BKD,57085,99
BLK,57093,0
BALL,57094,138
BMI,57102,41
BOH,57109,53
ANIP,57112,5
BRO,57124,-112
BSX,57133,83
BHC,57140,5082
MTRN,57142,20
BWA,57143,122
CAH,57151,16
CACI,57152,10
TXRH,57192,8
QXO,57199,-268
UAL,57204,7
UBSI,57211,-43
UCTT,57220,-39
UFPI,57231,12
EW,57251,81
EXP,57255,-153
FBP,57261,-41
FCF,57263,125
FCN,57267,-15
M,57269,282
FDS,57271,-20
FE,57272,-23
FIX,57281,0
FLO,57283,414
FLS,57284,-231
APLD,57285,-141
FNF,57291,-86
NEE,57302,-24
FRT,57317,-61
FUN,57324,-346
KBH,57399,-95
KBR,57400,-59
KEX,57410,-72
KMT,57421,-10
KMX,57422,128
LII,57465,-60
LLY,57468,-7
LNN,57475,27
CNMD,57599,200
KOPN,57615,-2507
MZTI,57653,10
LFUS,57699,-75
LINC,57723,24
LKFN,57734,122
WABC,57774,-2
WERN,57827,345
KTOS,57832,-80
IPGP,58133,143
AMRX,58145,-147
ITRI,58209,-1645
APPS,58272,-1003
ONTO,58314,-17
NBTB,58334,-111
CSIQ,58450,1157
CELH,58466,-233
CTSH,58512,53
CVBF,58524,-162
CVCO,58527,-28
ATEC,58595,519
BMNR,58596,322
MCRI,58675,72
MGRC,58748,204
CACC,58862,10
CASH,58885,50
CBSH,58923,57
CDNS,58976,-21
BIIB,59026,41
OPCH,59030,2160
BJRI,59041,-5
BLDR,59060,-79
BLKB,59063,14
BMRN,59088,38
GILD,59398,16
GLNG,59426,-157
WPC,59433,0
EVRG,59436,-43
WSO,59441,0
WTRG,59442,4
WU,59444,-6929
TKO,59445,-30
WWW,59446,-905
XPO,59463,-24
SPB,59470,-3
LWLG,59490,1891
YUM,59510,62
SBSI,59530,69
STRA,59559,-660
SHOO,59565,1047
WINA,59568,24
TMP,59581,-31
TXNM,59586,-33
BOKF,59612,20
PCG,59616,766
ENS,59621,46
ADI,59642,9
AXGN,59676,170
SBGI,59693,118
AIZ,59734,-9
BKH,59748,-66
KMPR,59759,61
MCK,59804,-19
UPBD,59812,-180
ADP,59819,0
FCX,59820,-8
PSMT,59880,-192
O,59888,-35
SBAC,59896,-75
NLY,59919,-25
CNP,59973,-41
SYY,59998,77
SCHW,60007,22
CHCO,60043,13
NWE,60046,20
MATX,60057,26
PWR,60079,13
ON,60107,-47
TEN,60129,-78
STLD,60138,-2
AMG,60148,41
VTR,60151,-32
RGLD,60163,-52
COF,60185,3
EPR,60186,-124
MDLZ,60190,151
MCY,60219,-11
MMS,60227,-103
TTC,60234,48
HOPE,60275,-180
AN,60279,555
GIII,60301,0
VMI,60328,19
PKG,60335,7
REX,60364,-65
IEX,60412,34
ABG,60413,-255
SKY,60415,-25
RCAT,60426,-743
FNB,60434,211
LH,60489,2
VYX,60520,-2067
ORI,60528,-81
HD,60529,-1
RYN,60530,62
EMN,60542,111
AVAV,60571,-43
SCL,60600,202
CPT,60602,-50
EDU,60623,344
DLR,60628,6
GTY,60677,8
STX,60702,7
ALGN,60710,-81
WLDN,60718,-110
CLH,60723,0
SYK,60724,-24
COST,60727,-6
ACGL,60728,-62
RSG,60731,1
GOOGL,60734,-19
HIW,60755,-43
AFL,60801,6
WEC,60810,5
HNRG,60819,-213
BPOP,60835,3
URI,60836,6
CRM,60876,2
APH,60906,75
BKE,60940,-63
NSC,60943,-2
AMSC,60972,177
ATRO,60979,43
PIPR,60997,13
OI,61039,949
PEG,61049,24
CL,61052,-7
NTCT,61066,187
POWI,61068,163
LBTYA,61080,-301
PLAB,61103,175
IPAR,61120,-6
GNW,61162,196
LOW,61197,-13
CW,61199,-7
INCY,61214,-7
ASTE,61229,-57
IRM,61264,-49
NWN,61268,-124
EIG,61343,144
GBX,61349,14
ALV,61387,52
WMK,61410,62
MNST,61416,-67
ACIW,61437,-132
CI,61457,0
ED,61464,11
OII,61475,-330
SBCF,61489,-5
HOMB,61498,80
TPC,61515,-17
EFOR,61516,144
PII,61527,-78
CRS,61535,-20
PFS,61551,-93
RNST,61559,-45
COO,61571,85
ORA,61593,69
CLDX,61597,200
AROC,61606,61
OXY,61624,-50
F,61627,-135
RBC,61629,-16
DIOD,61873,32
DLTR,61886,73
FFBC,61954,247
FISV,61979,-336
FITB,61980,-103
FLEX,61993,-300
HUBG,62098,54
PPLI,62131,-112
SBUX,62190,10
NUE,62274,-17
NVR,62281,2
NWL,62285,504
NYT,62293,-15
OC,62296,30
CDP,62300,158
OGE,62303,0
OHI,62305,55
OKE,62308,-72
PBH,62321,-628
PEP,62340,-2
PFG,62344,37
RNR,62366,15
PRG,62369,56
ROP,62372,1
RPM,62376,-3
RS,62379,9
RWT,62385,188
SAH,62393,-196
LDOS,62394,-25
SEB,62408,-2
SF,62411,-7
SAFE,62416,154
SFL,62417,-532
SJM,62432,44
HTO,62433,94
SKT,62436,-53
SM,62439,44
SO,62443,5
SON,62445,-31
SPG,62448,-30
SPXC,62452,44
STT,62465,21
SXT,62472,25
T,62473,-65
SSRM,62506,299
STRL,62548,-8
SBRA,62563,80
RDWR,62603,326
RGEN,62634,43
HBAN,62731,-1
HWC,62734,-12
ODFL,62814,11
PRGO,62914,883
PB,62930,58
PTEN,62968,175
SKYW,63068,6
SMTC,63119,32
CBRE,63136,17
PSKY,63141,1058
CBT,63142,35
CBU,63143,1
CBZ,63144,-254
CCK,63145,119
CDE,63147,-255
CF,63155,74
CHD,63164,20
CME,63180,25
CMG,63181,502
CNA,63194,-56
CNC,63196,276
CNS,63200,17
COP,63203,-11
CPA,63204,13
CPK,63207,-8
ITGR,63613,164
GD,63619,12
GLW,63649,-264
GME,63650,68
GATX,63655,9
GPC,63661,-21
GAP,63663,229
GT,63675,721
GVA,63678,70
HAL,63685,0
HAS,63688,-48
ALGT,63696,13
ALNY,63707,139
AMAT,63722,-4
TVTX,63732,80
AMKR,63743,-1208
UMBF,63779,-3
URBN,63800,44
UEC,63802,-1392
USLM,63826,40
ILMN,63915,254
IMAX,63919,-140
IMKTA,63931,45
DTE,63956,5
DUK,63961,18
DVA,63962,4
LCII,63963,25
DX,63964,-96
DY,63965,55
EAT,63968,69
ECL,63971,-16
EFX,63982,20
EL,63988,-8
ELS,63990,35
CALY,63991,47
EMR,63995,-17
EPC,64003,-37
EQR,64010,-94
EQT,64012,7
ETN,64024,7
WKC,64048,-1970
TT,64058,-16
ITW,64065,12
J,64074,-44
JPM,64084,-21
KAI,64099,-20
FRHC,64100,26
UAA,64105,-1872
PAG,64106,-18
UDR,64111,1545
UGI,64118,193
UHS,64119,28
UNM,64122,-162
USB,64127,-115
AD,64128,-40
LEU,64130,33
UTL,64132,-13
RTX,64133,-3
UVV,64135,-20
VNO,64150,80
VSH,64158,-70
VZ,64162,-22
WDC,64166,28
WFC,64169,-18
WGO,64173,-93
WHR,64176,-157
WM,64185,-2
JEF,64195,-86
LUV,64197,-478
LVS,64200,75
LYV,64203,43
LZB,64205,-102
MAA,64206,-13
MAC,64208,-294
MCO,64214,15
MDT,64222,69
MDU,64223,53
MGM,64237,54
TGTX,64239,11
SPGI,64242,-55
MLI,64253,45
ALK,64262,31
PLD,64265,-12
AMT,64269,38
ANF,64271,115
AOS,64280,383
HTH,64286,70
AWI,64305,-554
AWR,64306,-7
DCH,64308,597
AYI,64309,-8
RAMP,64322,170
ADBE,64327,12
DJCO,64397,-11
INDB,64421,-35
OFG,64453,67
PRK,64462,-362
UMH,64488,-425
AES,64542,260
PRGS,64546,210
SCHL,64561,-560
ECPG,64615,-4
MFA,64644,681
IOSP,64660,52
CNX,64738,449
BB,64758,1102
UNH,64766,22
WAFD,64779,118
STAA,64810,1099
OPK,64814,-28868
BLDP,64823,2792
AEIS,64826,24
OTEX,64839,-152
PEGA,64877,436
VCEL,64894,18
CIEN,64895,4
NAT,64907,81
SBET,64962,-2123
RMBS,64972,30
SLG,65012,73
NJR,65033,61
AVA,65037,23
OLN,65038,-1312
ROG,65039,99
TNC,65042,46
PSA,65043,0
VMC,65044,18
CMI,65046,-3
NI,65048,-17
DE,65049,-5
HON,65050,15
TMO,65051,14
PNR,65053,125
TSN,65056,-150
JOE,65057,144
CLF,65062,-585
DXC,65067,582
CLX,65068,-26
SWX,65071,22
HUM,65073,9
SWK,65079,-106
APA,65087,-696
WMB,65088,32
AON,65089,-20
RHI,65093,-25
CHE,65095,17
BXMT,65100,-1254
GEF,65103,48
MUX,65123,-291
D,65128,-36
WOR,65129,35
UNF,65130,4
MTB,65141,-10
ASB,65152,-76
NKE,65170,-147
GL,65171,22
DXCM,65197,119
LXP,65270,159
EXPE,65300,11
AMSF,65305,134
CLMT,65333,-29
AUB,65359,-49
SANM,65418,68
FBNC,65597,-46
ATO,65613,-37
AKAM,65726,78
CMP,65765,125
TCOM,65802,148
ACAD,65849,411
ABR,65896,188
EXR,65923,-56
INVA,65943,16
CE,66050,273
BRKR,66063,3
AVB,66080,-9
SSD,66086,-17
ESS,66088,-3
WTW,66151,15
FIS,66158,120
JBLU,66265,-664
UCB,66281,-121
TRI,66353,-28
TPR,66443,-31
MITK,66550,-334
FRME,66623,-14
MAN,66658,89
MTG,66664,-2
FIZZ,66667,225
KIM,66678,-179
INGR,66714,53
PRDO,66726,3
CRAI,66761,-51
AXTI,66771,22
PAA,66806,147
NVDA,66821,-48
NOVT,66837,18
GS,66846,-2
LAD,66980,-42
HLIO,66982,-6
KRC,66988,195
RHP,67009,-28
GPI,67024,-55
PLUS,67055,16
GEL,67060,229
EEFT,67070,-576
ARE,67091,72
RL,67102,-10
JLL,67118,4
BN,67129,-147
AEHR,67131,110
ETR,67140,-15
CXT,67141,-93
CVX,67144,-7
PH,67147,-4
GHM,67153,19
KWR,67155,20
WRB,67157,-10
CUZ,67164,155
LNC,67166,-21
PHM,67171,1
MAT,67176,-912
FUL,67186,21
TXT,67191,702
AME,67193,24
CMC,67194,24
GHC,67195,1
BAC,67206,-97
OMC,67215,-28
ALNT,67223,74
EPAC,67228,-101
AMGN,67235,-41
CTAS,67241,11
CINF,67254,5
WBD,67306,524
CAKE,67370,-10
BDC,67396,91
KSS,67415,144
RDN,67443,86
MCHP,67470,13
JBL,67477,19
KGC,67489,152
INOD,67501,162
UFPT,67527,-22
EVR,67534,-44
BKR,67563,-125
PTC,67574,75
WULF,67624,-219
WBS,67640,-62
THC,67681,-9
KRG,67744,160
ZD,67756,-72
INTU,67773,19
SLAB,67815,25
CCI,67855,99
FORM,67890,89
ADTN,67975,315
PNC,67980,-5
EXTR,67981,-114
XEL,67986,-13
CCOI,68009,430
BAX,68011,96
NSP,68019,-16
MWA,68027,-102
MPT,68049,208
HSTM,68055,-125
WAB,68056,-12
NSIT,68067,-37
IDT,68148,-112
ES,68204,-56
WLY,68208,34
FHI,68212,-313
CORT,68214,27
A,68220,-18
CSGP,68229,287
OMCL,68230,-496
MOG.A,68246,-32
CAR,68262,-258
UAMY,68404,-690
CHH,68447,-3
RJF,68461,-8
CSR,68473,-138
TTMI,68475,-6
AZZ,68509,-31
CUBE,68513,-177
MIDD,68519,-18
GGG,68522,-13
WT,68526,-192
DEI,68567,213
IART,68578,-531
AER,68606,-8
EOG,68629,-3
XRAY,68644,352
AGX,68650,18
CHDN,68669,-26
ADEA,68768,461
AGO,68826,50
MNKD,68904,991
INSM,68958,-23
SHO,68990,57
QUBT,69030,194
ATRC,69073,-229
AAP,69189,48
SYNA,69204,-61
RIOT,69333,-865
AXS,69444,469
CHKP,69527,-51
SSB,69543,-6
CHRW,69564,85
LAMR,69570,-86
WLFC,69583,-81
VSAT,69598,-18
EIX,69660,-57
AVT,69661,42
CPB,69663,19
BMY,69664,107
FMC,69665,-1
ASH,69670,186
SHW,69671,-13
GWW,69672,3
LEG,69676,-162
EXPD,69680,24
KEY,69686,-296
ABT,69689,-8
MTZ,69690,-23
ABM,69692,-60
ADM,69695,34
SXI,69698,8
TGT,69708,31
DDS,69710,-19
LPX,69711,-56
CECO,69718,135
BBWI,69724,446
BEN,69732,72
WWD,69735,-32
SBR,69738,-32
TILE,69740,-103
SLM,69744,390
CASY,69750,4
CMCSA,69755,240
HWKN,69763,-19
BIO,69769,24
KLAC,69772,-48
COHR,69859,13
TECH,69869,87
RRC,69882,33
EXPO,69887,8
RDNT,69897,-25
AZO,69901,0
HAE,69904,139
CRVL,69907,90
AEE,69957,-32
MAR,69980,-175
MANH,69990,37
MSTR,69999,-110
BKNG,70064,0
WCC,70074,18
ADSK,70087,-16
HSIC,70120,55
WAT,70122,-6
WAL,70159,-55
MA,70252,0
STE,70269,10
DHI,70270,-16
PRMB,70273,-102
HOV,70285,-140
TX,70294,-81
BANF,70304,-12
ORLY,70307,25
AKR,70312,-125
BYD,70317,-16
LMAT,70338,-10
DAKT,70356,-220
TNL,70369,2
JJSF,70451,-66
IEP,70459,1672
CALM,70469,-129
MOH,70485,161
BGC,70569,-376
NRG,70617,16
WTI,70699,-84
MLM,70848,6
ZBH,70925,-11
ELV,70960,26
LMT,71049,12
COR,71055,22
NEOG,71287,1756
DGII,71288,6
BLFS,71290,-388
MMSI,71301,11
IONS,71316,182
IDXX,71322,-16
TTEK,71332,-108
COLM,71386,464
LNG,71388,25
DOX,71412,-26
EPD,71454,-247
KFY,71461,-147
UTHR,71484,3
OSK,71490,34
TROW,71492,24
CCL,71508,643
SAM,71532,51
HIG,71540,3
DXPE,71590,40
MTN,71596,38
DMC,71617,456
GERN,71618,-7225
EG,71623,3
CROX,71659,-66
RIG,71672,-2650
MHK,71685,101
CENT,71693,-83
LTC,71700,30
CB,71734,3
GILT,71735,731
FRO,71775,-166
FLG,71789,56
XPEL,71822,-33
GSAT,71833,-46
SBH,71836,-134
GNTX,71932,168
IBOC,71939,-28
STBA,71981,-55
SFNC,71986,46
DCOM,72001,-34
NTGR,72004,-99
MET,72168,22
WLK,72195,29
ISRG,72234,16
EYPT,72316,335
AEO,72380,-181
GPN,72412,-134
BG,72457,157
HLIT,72548,422
NFLX,72558,32
OVV,72573,-79
FLR,72600,137
RUSHA,72629,32
CEVA,72671,-151
BXP,72846,44
CMS,72872,31
SRE,72874,9
NFG,72877,-3
IP,72878,-148
APD,72881,4
CSL,72882,6
MAS,72883,-260
ROL,72884,64
DCI,72885,-46
DCO,72886,-3
GIS,72888,63
HUBB,72890,-93
FELE,72891,-16
R,72893,22
MGEE,72900,47
LNT,72902,-29
AGYS,72903,-46
KR,72908,138
LXU,72910,521
SCI,72915,111
SR,72918,29
HRL,72919,248
AVY,72920,-144
PVH,72922,-35
BC,72928,-85
WEN,72937,-248
TYL,72940,-123
AIR,72943,-7
WDFC,72951,53
AMD,72952,-10
RF,72973,-161
ZION,72976,34
FDX,72977,0
MHO,72979,-12
AEM,72981,33
MOD,72988,54
AAPL,72990,-43
CQP,73061,99
BR,73113,-65
SMCI,73264,93
TMUS,74139,1
CNK,74209,21
TFSL,74213,-33
HROW,74240,-80
DAL,74302,-1
IBKR,74442,-89
ACM,74538,-437
TRS,74604,1096
PODD,74660,14
JAZZ,136431,-1
LULU,136643,-30
ENSG,136743,69
MAIN,136748,88
TEL,137115,-22
BX,137341,-32
GRBK,137411,-59
PSIX,137887,351
G,138373,-337
MELI,138494,-1
TDC,139032,242
CVI,139836,198
ULTA,139857,16
APEI,140095,46
NMM,140169,11
MSCI,140201,44
CIM,140224,206
SBLK,147424,-162
ARR,147427,13
IVZ,147429,16
FOR,147746,17
TWO,147750,34
TNK,147786,73
LRN,147787,-414
ECHO,148533,-17
BIP,148710,-29
DAN,149055,-406
SLS,149659,-155
PM,149690,-4
V,149752,-2
IRDM,149782,208
AWK,150187,-22
SW,150254,-37
KDP,151431,-25
ENOV,151798,-11
AGNC,151923,-566
ERII,152751,780
JBTM,153004,-56
MYRG,153451,20
TREE,153452,16
GSL,153495,20
SIG,169130,-66
HCI,169204,-22
LOPE,170478,-10
VRTS,170967,7
IVR,174045,439
IOVA,182723,-3330
AVGO,196789,-4
OMER,209869,-1943
PMT,213845,760
STWD,213945,30
ARI,214872,1195
VRSK,215062,-30
ADUS,215556,0
H,216044,-118
LEA,216197,-362
DG,216209,55
FTNT,216562,46
CHTR,217232,49
PEB,217737,241
OPLN,217855,13
PPC,218471,-154
TRNO,228976,-70
PDM,228982,-278
GNRC,229000,-363
QNST,229001,-724
ST,229496,-82
MXL,230039,91
CALX,230040,399
FIBK,230074,-66
HTHT,230093,-17
SSNC,230189,-125
PRI,230233,12
STNG,230289,-24
GBDC,230574,131
SPSC,230821,156
LYB,230971,262
AOSL,231025,326
CRMD,231323,555
JKS,231337,610
FAF,232337,-33
CBOE,234475,-5
VPG,234659,1
FN,234679,-12
TSLA,234767,11
BWXT,235005,20
KKR,235089,-15
AMRC,241195,184
NXPI,241473,-61
MMYT,241600,8
VC,242608,68
DQ,242627,436
EFC,242655,-618
TAL,242870,1209
CMRE,243193,81
HHH,243265,9
BAH,243505,-44
GM,243526,53
LPLA,243544,8
TRGP,244033,-5
CPAY,244403,-20
WD,244407,80
AAT,247036,-135
BKU,248046,-43
AGRO,248049,617
PCRX,248823,727
KMI,249020,125
TROX,249420,-1180
HCA,249641,-3
HII,249919,212
APO,250122,21
UAN,250329,49
ARCO,250625,-929
STAG,250664,-138
VNET,250829,-1983
KOS,251185,1435
RLJ,251186,-1
NBIS,251534,-6
MPC,252173,-12
ZG,254268,153
CHEF,254453,-215
FBIN,255406,16
XYL,255914,10
UI,255979,22
ACHC,257167,127
GRPN,257955,-181
VAC,257991,44
APTV,258464,-15
TRIP,258717,-182
CPRI,258877,-208
GWRE,259401,-11
POST,259430,-90
MTDR,259497,61
EPAM,259581,50
MARA,259632,-828
CUBI,259851,62
PRLB,259974,36
YELP,260110,-237
ALSN,260365,-12
MTSI,260398,-5
VIPS,260534,-11
ZWS,260635,33
ENPH,260654,409
PSX,260801,-4
SUPN,261113,0
CG,261151,-78
TGLS,261267,-400
META,261387,-35
PDI,261481,-10
HR,261708,-285
NOW,262026,70
CLSK,262331,159
FIVE,262346,21
PANW,262368,12
GMED,262597,-75
BLMN,262649,301
MANU,262670,-404
PARR,262945,117
SUN,263154,53
NBHC,263157,33
QLYS,263280,98
AMBA,263844,-109
WDAY,263875,-973
FANG,263886,-39
MPLX,264126,-103
RH,264211,8
JOYY,264410,-234
WES,264639,62
ABBV,264656,17
PBF,264705,57
FWONA,265027,-2
USAC,265079,54
NCLH,265148,-321
BFAM,265337,-46
ZTS,265414,135
BCC,265458,65
ORC,265592,756
APAM,265899,41
FUBO,266302,-642
NUTX,266330,-61
EVTC,266394,-222
HASI,266459,-161
PRKS,266490,-44
DSL,266563,170
VOYA,266655,41
RITM,266666,381
PFSI,266769,-151
IQV,266770,-496
NIC,266919,4
CSTM,267035,-67
COTY,267316,2341
PTCT,267386,-381
NWSA,267403,-114
GOGO,267416,-138
CDW,267521,27
LIND,267619,306
REXR,267837,-144
AGIO,267906,-277
SFM,268002,227
AMH,268003,110
FOXF,268066,-62
PGEN,268068,617
XPRO,268082,-611
IRT,268120,-170
SPNT,268153,-661
MUSA,268179,14
SAIC,268479,16
AAOI,268592,-45
RNG,268606,-92
CNH,268629,-1047
ESRT,268677,-2651
BURL,268681,6
AR,268900,145
GLPI,268936,50
PAGP,269012,167
VEEV,269017,129
OMF,269020,115
ADMA,269023,-783
ESI,269086,201
VISN,269201,-47
VCYT,269353,-619
BRX,269355,29
CRTO,269356,253
ESNT,269379,-10
MMI,269420,-168
WIX,269481,-668
LGIH,269508,-359
NMIH,269541,-47
TNDM,269638,418
ALLE,269685,-9
AGNT,269706,3214
XNCR,269904,-285
AAL,269980,419
ATHM,270034,-280
ARMK,270061,-2
