infocode,ticker,notional
51296,OLED,-41174
51303,SNX,-9779
51342,MUR,3755
51345,AFG,26150
51379,EGP,6396
51388,WTS,29334
51392,SGI,11356
51400,ADC,17145
51425,VTRS,36281
51429,GLP,-34975
51528,LAZ,22714
51572,GPRE,-40931
51603,SAIA,-30990
51609,LECO,-8423
51612,AGCO,-10221
51627,ALKS,27439
51637,MKL,1243
51650,NDAQ,14584
51657,EME,75974
51672,IT,-972
51683,BCPC,15641
51697,CXW,44180
51700,EWBC,43169
51754,MSM,962
51778,DOC,26028
51781,LKQ,-60056
51789,ALL,45829
51793,ARCB,-51971
51823,NPK,-4568
51843,WST,-4276
51846,DVN,6216
51889,WSM,42351
51906,ALB,-985
51922,CAG,-5526
51936,FHN,-11294
51939,WEX,-112187
51959,TXN,11490
52036,MRCY,17155
52050,SNA,10895
52070,RVTY,7806
52105,FSS,25354
52146,JNJ,-2059
52164,SNDA,-38659
52167,CNO,35232
52175,EXLS,-8095
52236,NKTR,-8408
52243,TTWO,67458
52268,UNFI,-16426
52286,NSSC,22164
52298,SPH,-53928
52318,EVC,8886
52343,REPX,-60727
52363,SNEX,15204
52364,FR,11495
52370,CATY,34030
52373,HWM,27527
52386,TER,37000
52399,PFBC,22753
52400,AB,-5627
52411,AZTA,-29359
52420,CVLT,-43182
52508,AAON,-37941
52516,ABCB,-14664
52577,B,25547
52586,BFH,35131
52590,AEP,22284
52596,AGM,-72134
52603,AMN,7303
52604,AIG,51260
52605,AIN,-10753
52608,AIT,24994
52611,AJG,4251
52759,NDSN,17588
52798,NEO,2672
52825,IDR,-131162
52838,MO,-15215
52840,MOS,12508
52841,MSI,-12434
52853,MS,-15135
52854,MSA,-19327
52862,MTD,25404
52864,MTH,28191
52870,MTX,-13590
52871,MU,43823
52895,NBN,20136
52896,NBR,-39895
52905,NEU,17970
52920,NHI,5996
52935,NNI,-65553
52936,NNN,39288
52940,NOC,11372
52942,NOV,13375
52945,NPO,42318
52987,EZPW,9992
53026,FCEL,-879
53027,FCFS,-77565
53031,FCNCA,49253
53092,SWKS,-36893
53106,SYBT,-35215
53117,GEN,54337
53154,TBBK,39804
53161,TCBI,6974
53162,TCBK,-81158
53172,ICFI,26170
53177,ICLR,8177
53195,ICUI,32899
53406,CENX,34287
53434,CFFN,-13920
53569,PZZA,-10060
53577,QCOM,642
53582,QGEN,39886
53665,VECO,-5943
53686,VICR,26459
53726,CMPR,-23139
53744,VRTX,9116
53748,VSEC,34553
53753,SRPT,-24506
53811,BANR,-32170
53849,BCRX,32299
53876,CWST,-5806
53910,CYTK,7409
53954,DECK,17627
54005,LPTH,207123
54007,LQDT,-801
54008,LRCX,52185
54017,LSCC,18191
54068,MATW,-20729
54159,GRMN,-5963
54171,CRI,-52276
54172,CRK,-31982
54173,CRL,31101
54176,AORT,9254
54178,CSX,24080
54181,LUMN,-10471
54183,CTS,-13521
54192,CVS,33557
54195,CWT,-16310
54202,DAC,23029
54221,DGX,-95044
54223,DHT,99363
54228,DK,24154
54231,DKS,-7378
54233,DLB,-290
54235,DLX,19362
54245,DPZ,-15197
54253,DRH,9282
54254,DRI,12941
54323,SIGI,29802
54332,SIMO,-28943
54338,SIRI,-9114
54344,TAP,1913
54353,TDS,-5522
54355,TDW,13942
54362,TFX,-13967
54370,THO,-2965
54380,TJX,-4567
54395,TOL,70469
54399,TPL,-7347
54401,TR,-18278
54404,TRN,-28953
54405,TRV,42263
54413,TTI,-10013
54420,TREX,-1485
54519,OTTR,-13784
54531,OZK,38470
54532,PAAS,7678
54558,PATK,21734
54562,PAYX,17444
54576,PCAR,9571
54614,PDFS,3667
54648,WRLD,6806
54655,WSBC,14087
54660,WSFS,-4451
54676,WTFC,22242
54710,WYNN,3663
54789,TOWN,263
54829,TRMB,5895
54830,TRMK,2021
54849,TSCO,-306
54851,TSEM,32538
54997,BUSE,-2567
55116,EFSC,8239
55192,JBHT,-2349
55196,VIAV,3436
55206,JKHY,33536
55278,KLIC,7473
55322,COLB,13403
55369,CPRT,-450
55433,MKSI,3726
55438,MKTX,-1181
55444,MLKN,4705
55510,MLCO,60746
55517,MPWR,56489
55538,MRTN,-29261
55539,MRVL,38801
55548,MSEX,3366
55665,THRM,-80850
55672,ARLP,2434
55690,WELL,18641
55696,HE,102623
55698,HEI,31956
55721,HLF,-8750
55722,EHC,31189
55723,HLX,2492
55726,HMN,22305
55727,HNI,-8656
55728,DINO,28953
55729,HOG,-6826
55732,HP,-18105
55736,HRB,17918
55738,LHX,-30357
55743,HST,6712
55744,HSY,-2543
55746,HALO,35831
55749,HRI,-8072
55751,HUN,-31259
55765,IDA,12186
55771,IFF,25229
55789,BANC,-26483
55819,FSLR,15094
55855,FULT,37706
55892,GBCI,-15980
55925,HCSG,5721
55952,HFWA,-25403
55969,HIFS,-55829
55973,HIMX,947
56122,ROCK,-33310
56131,ROST,27173
56141,PRIM,43162
56213,SAFT,-91571
56460,SNPS,-9213
56465,MDGL,-909
56571,PNW,-5714
56574,AVNT,18586
56577,POR,5080
56580,PPG,9548
56581,PPL,33577
56592,PRU,-14714
56603,PAR,-47573
56625,RBA,13030
56626,RRX,45008
56638,REG,17255
56643,RES,-8133
56647,RGA,5292
56660,RLI,8376
56662,RMD,32444
56679,PLXS,4107
56709,PNFP,9085
56737,POOL,-27148
56747,POWL,64181
56754,NTRS,-11677
56766,ORKA,-92644
56768,NVAX,-79917
56803,NWPX,8887
56806,NWBI,20680
56816,NXST,21701
56842,OCFC,9096
56945,ENTG,13904
56976,EQIX,-17528
56992,EA,-1480
57047,TFC,2712
57050,BBY,17292
57051,BCO,20546
57061,BDX,-11857
57064,BF.B,-11077
57075,BHE,10008
57084,BNY,13441
57085,BKD,38285
57093,BLK,753
57094,BALL,18961
57102,BMI,-46347
57109,BOH,3355
57112,ANIP,-18867
57124,BRO,2990
57133,BSX,9249
57140,BHC,-95689
57142,MTRN,-21658
57143,BWA,53252
57151,CAH,25325
57152,CACI,29863
57192,TXRH,46319
57199,QXO,-6367
57204,UAL,12365
57211,UBSI,24096
57220,UCTT,-6514
57231,UFPI,-18759
57251,EW,-11888
57255,EXP,27458
57261,FBP,30150
57263,FCF,2634
57267,FCN,7102
57269,M,30066
57271,FDS,11835
57272,FE,-2893
57281,FIX,82626
57283,FLO,14239
57284,FLS,20653
57285,APLD,15964
57291,FNF,19920
57302,NEE,-7873
57317,FRT,-34708
57324,FUN,-63128
57399,KBH,16586
57400,KBR,-16872
57410,KEX,-22497
57421,KMT,15345
57422,KMX,14659
57465,LII,-59538
57468,LLY,-3840
57475,LNN,-1356
57599,CNMD,-2880
57615,KOPN,-24414
57653,MZTI,3882
57699,LFUS,-9087
57723,LINC,-5205
57734,LKFN,-17260
57774,WABC,15431
57827,WERN,-27608
57832,KTOS,50170
58133,IPGP,-40611
58145,AMRX,43806
58209,ITRI,-115090
58272,APPS,5713
58314,ONTO,25756
58334,NBTB,154
58450,CSIQ,-58554
58466,CELH,-49849
58512,CTSH,25200
58524,CVBF,27123
58527,CVCO,17332
58595,ATEC,11216
58596,BMNR,53152
58675,MCRI,12040
58748,MGRC,-7946
58862,CACC,-4441
58885,CASH,6978
58923,CBSH,20916
58976,CDNS,7145
59026,BIIB,-12862
59030,OPCH,-4440
59041,BJRI,13241
59060,BLDR,-30836
59063,BLKB,-17206
59088,BMRN,16046
59398,GILD,33455
59426,GLNG,10337
59433,WPC,23852
59436,EVRG,28721
59441,WSO,-33527
59442,WTRG,23522
59444,WU,-8487
59445,TKO,217
59446,WWW,30818
59463,XPO,4007
59470,SPB,-19572
59490,LWLG,-76276
59510,YUM,-2797
59530,SBSI,-53985
59559,STRA,-35341
59565,SHOO,6518
59568,WINA,-30825
59581,TMP,-31342
59586,TXNM,5578
59612,BOKF,-29505
59616,PCG,-14700
59621,ENS,39256
59642,ADI,31936
59676,AXGN,54956
59693,SBGI,-8584
59734,AIZ,33233
59748,BKH,9795
59759,KMPR,6127
59804,MCK,2394
59812,UPBD,-26851
59819,ADP,4699
59820,FCX,11073
59880,PSMT,5127
59888,O,2202
59896,SBAC,-17876
59919,NLY,26087
59973,CNP,23568
59998,SYY,-19395
60007,SCHW,-1512
60043,CHCO,-25168
60046,NWE,13151
60057,MATX,-9551
60079,PWR,32329
60107,ON,25202
60129,TEN,44147
60138,STLD,38874
60148,AMG,40485
60151,VTR,16102
60163,RGLD,-11244
60185,COF,12637
60186,EPR,20323
60190,MDLZ,1544
60219,MCY,46886
60227,MMS,18503
60234,TTC,17989
60275,HOPE,-2852
60279,AN,5450
60301,GIII,36528
60328,VMI,-21142
60335,PKG,-13559
60364,REX,1996
60412,IEX,-1203
60413,ABG,-29376
60415,SKY,-19119
60426,RCAT,104454
60434,FNB,-26779
60489,LH,-14188
60520,VYX,-17725
60528,ORI,33450
60529,HD,-10712
60530,RYN,-14755
60542,EMN,32568
60571,AVAV,-6061
60600,SCL,-41281
60602,CPT,3094
60623,EDU,-48166
60628,DLR,-11700
60677,GTY,15764
60702,STX,49122
60710,ALGN,28695
60718,WLDN,24202
60723,CLH,-485
60724,SYK,-9437
60727,COST,-18226
60728,ACGL,17718
60731,RSG,1330
60734,GOOGL,22540
60755,HIW,7515
60801,AFL,-6196
60810,WEC,6147
60819,HNRG,-187
60835,BPOP,35610
60836,URI,47166
60876,CRM,31661
60906,APH,35780
60940,BKE,19895
60943,NSC,-52638
60972,AMSC,4841
60979,ATRO,22601
60997,PIPR,-555
61039,OI,-50914
61049,PEG,26634
61052,CL,-13430
61066,NTCT,12565
61068,POWI,323
61080,LBTYA,-87536
61103,PLAB,15094
61120,IPAR,-14725
61162,GNW,34504
61197,LOW,-26734
61199,CW,42493
61214,INCY,-6007
61229,ASTE,1479
61264,IRM,12116
61268,NWN,-2304
61343,EIG,-748
61349,GBX,46
61387,ALV,6622
61410,WMK,-11528
61416,MNST,37277
61437,ACIW,22819
61457,CI,-15564
61464,ED,13864
61475,OII,-32372
61489,SBCF,-22253
61498,HOMB,22039
61515,TPC,-102645
61516,EFOR,-69013
61527,PII,-55104
61535,CRS,22630
61551,PFS,540
61559,RNST,-3708
61571,COO,31009
61593,ORA,-10449
61597,CLDX,-16830
61606,AROC,25654
61624,OXY,19444
61627,F,38821
61629,RBC,17171
61873,DIOD,-19307
61886,DLTR,40413
61954,FFBC,4187
61979,FISV,-10760
61980,FITB,45500
61993,FLEX,17159
62098,HUBG,4298
62131,PPLI,-7396
62190,SBUX,-19703
62274,NUE,61180
62281,NVR,-89556
62285,NWL,39041
62293,NYT,19179
62296,OC,15424
62300,CDP,21518
62303,OGE,554
62305,OHI,17800
62308,OKE,-39538
62321,PBH,-54929
62340,PEP,-10242
62344,PFG,5582
62366,RNR,40661
62369,PRG,14134
62372,ROP,4295
62376,RPM,-8939
62379,RS,29289
62385,RWT,-13945
62393,SAH,-15080
62394,LDOS,14354
62408,SEB,-132052
62411,SF,24708
62416,SAFE,-66920
62417,SFL,26815
62432,SJM,23760
62433,HTO,-9524
62436,SKT,4884
62439,SM,24686
62441,BH,-331617
62443,SO,11669
62445,SON,318
62448,SPG,15653
62452,SPXC,29723
62465,STT,35747
62472,SXT,-39101
62473,T,32551
62506,SSRM,18318
62548,STRL,40106
62563,SBRA,40459
62603,RDWR,397
62634,RGEN,-23958
62731,HBAN,-23595
62734,HWC,39787
62814,ODFL,6250
62914,PRGO,333
62930,PB,7906
62968,PTEN,39134
63068,SKYW,-2924
63119,SMTC,30132
63136,CBRE,25269
63141,PSKY,-86099
63142,CBT,26467
63143,CBU,-50439
63144,CBZ,11890
63145,CCK,43677
63147,CDE,9033
63155,CF,60533
63164,CHD,-23123
63180,CME,-27610
63181,CMG,19418
63194,CNA,9832
63196,CNC,-22125
63200,CNS,-7855
63203,COP,-12475
63204,CPA,22728
63207,CPK,-24742
63613,ITGR,-89243
63619,GD,7666
63649,GLW,-4877
63650,GME,-105916
63655,GATX,-47834
63661,GPC,-10346
63663,GAP,31139
63675,GT,-16286
63678,GVA,-1191
63685,HAL,-28186
63688,HAS,-31688
63696,ALGT,-6755
63707,ALNY,-65495
63722,AMAT,48496
63732,TVTX,22196
63743,AMKR,-36996
63779,UMBF,40347
63800,URBN,30714
63802,UEC,-18143
63826,USLM,13103
63915,ILMN,32757
63919,IMAX,-59336
63931,IMKTA,-7022
63956,DTE,7724
63961,DUK,862
63962,DVA,30600
63963,LCII,5388
63964,DX,22984
63965,DY,23495
63968,EAT,83500
63971,ECL,-24493
63982,EFX,21049
63988,EL,9313
63990,ELS,9447
63991,CALY,4610
63995,EMR,6153
64003,EPC,-18723
64010,EQR,3137
64012,EQT,26849
64024,ETN,14332
64048,WKC,-59062
64058,TT,-22990
64065,ITW,-8110
64074,J,17687
64084,JPM,-1906
64099,KAI,4167
64100,FRHC,-18132
64105,UAA,937
64106,PAG,-76167
64111,UDR,12090
64118,UGI,18846
64119,UHS,28302
64122,UNM,14592
64127,USB,20211
64128,AD,42484
64130,LEU,-16419
64132,UTL,4587
64133,RTX,-4963
64135,UVV,23969
64150,VNO,6475
64158,VSH,7812
64162,VZ,39600
64166,WDC,72234
64169,WFC,19039
64173,WGO,-7958
64176,WHR,-32756
64185,WM,-20971
64195,JEF,-8705
64197,LUV,-15655
64200,LVS,-9737
64203,LYV,-58879
64205,LZB,3160
64206,MAA,2648
64208,MAC,16572
64214,MCO,-6548
64222,MDT,40745
64223,MDU,7672
64237,MGM,16926
64239,TGTX,144640
64242,SPGI,-8091
64253,MLI,39130
64262,ALK,-23099
64265,PLD,-23700
64269,AMT,-2242
64271,ANF,28647
64280,AOS,-1229
64286,HTH,-14956
64305,AWI,-40658
64306,AWR,23089
64308,DCH,13298
64309,AYI,20731
64322,RAMP,56224
64327,ADBE,-2322
64397,DJCO,-6636
64421,INDB,11914
64453,OFG,31882
64462,PRK,-65276
64488,UMH,-30428
64542,AES,33509
64546,PRGS,-378
64561,SCHL,-31258
64615,ECPG,-3708
64644,MFA,-2071
64660,IOSP,-9752
64738,CNX,29422
64758,BB,67489
64766,UNH,16544
64779,WAFD,3657
64810,STAA,-109984
64814,OPK,172428
64823,BLDP,-1358
64826,AEIS,9100
64839,OTEX,43220
64877,PEGA,-60886
64894,VCEL,20908
64895,CIEN,34612
64907,NAT,65469
64962,SBET,50075
64972,RMBS,12901
65012,SLG,-18276
65033,NJR,-1792
65037,AVA,-11005
65038,OLN,-53107
65039,ROG,-36713
65042,TNC,-17219
65043,PSA,-13512
65044,VMC,44225
65046,CMI,6938
65048,NI,41699
65049,DE,-386
65050,HON,5345
65051,TMO,1187
65053,PNR,-71964
65056,TSN,7316
65057,JOE,-5953
65062,CLF,-13761
65067,DXC,11867
65068,CLX,-24155
65071,SWX,17391
65073,HUM,-18842
65079,SWK,11680
65087,APA,15187
65088,WMB,9278
65089,AON,-78523
65093,RHI,-4807
65095,CHE,21206
65100,BXMT,2702
65103,GEF,31947
65123,MUX,-29040
65128,D,29072
65129,WOR,-13880
65130,UNF,-17587
65141,MTB,-5220
65152,ASB,54416
65170,NKE,-11058
65171,GL,-15226
65197,DXCM,26412
65270,LXP,-137006
65300,EXPE,45975
65305,AMSF,-21450
65333,CLMT,-7763
65359,AUB,15326
65418,SANM,10872
65597,FBNC,-27216
65613,ATO,40262
65726,AKAM,22071
65765,CMP,-2893
65802,TCOM,-2327
65849,ACAD,19658
65896,ABR,-69707
65923,EXR,-21589
65943,INVA,23275
66050,CE,8942
66063,BRKR,25555
66080,AVB,9884
66086,SSD,-14017
66088,ESS,3713
66151,WTW,23275
66158,FIS,30167
66265,JBLU,-66338
66281,UCB,12382
66353,TRI,12710
66443,TPR,57776
66550,MITK,39217
66623,FRME,-7661
66658,MAN,-55411
66664,MTG,-34644
66667,FIZZ,-6761
66678,KIM,19931
66714,INGR,9691
66726,PRDO,6182
66761,CRAI,18041
66771,AXTI,-19718
66806,PAA,-8755
66821,NVDA,440
66837,NOVT,10167
66846,GS,-3059
66980,LAD,-6611
66982,HLIO,39261
66988,KRC,5749
67009,RHP,8258
67024,GPI,-32356
67055,PLUS,-21506
67060,GEL,2402
67070,EEFT,-16611
67091,ARE,-55108
67102,RL,63386
67118,JLL,30302
67129,BN,-16911
67131,AEHR,-90074
67140,ETR,22197
67141,CXT,4576
67144,CVX,16894
67147,PH,11882
67153,GHM,32229
67155,KWR,-23557
67157,WRB,36851
67164,CUZ,12917
67166,LNC,9949
67171,PHM,34799
67176,MAT,25570
67186,FUL,-8851
67191,TXT,-31675
67193,AME,15239
67194,CMC,12446
67195,GHC,-27969
67206,BAC,20327
67215,OMC,108
67223,ALNT,48825
67228,EPAC,-2248
67235,AMGN,-8538
67241,CTAS,5382
67254,CINF,8402
67306,WBD,15939
67370,CAKE,51518
67396,BDC,4739
67415,KSS,-5933
67443,RDN,-38454
67470,MCHP,18791
67477,JBL,41408
67489,KGC,48431
67501,INOD,19313
67527,UFPT,24721
67534,EVR,-19220
67563,BKR,37105
67574,PTC,-9855
67624,WULF,5760
67640,WBS,39469
67681,THC,20124
67744,KRG,26265
67756,ZD,-30616
67773,INTU,4866
67815,SLAB,34257
67855,CCI,-9890
67890,FORM,20996
67975,ADTN,-15080
67980,PNC,1033
67981,EXTR,14866
67986,XEL,27114
68009,CCOI,-38905
68011,BAX,-6446
68019,NSP,-22800
68027,MWA,29758
68049,MPT,1856
68055,HSTM,-1439
68056,WAB,-24206
68067,NSIT,-21743
68148,IDT,13931
68204,ES,4320
68208,WLY,3630
68212,FHI,15541
68214,CORT,61055
68220,A,16441
68229,CSGP,-7913
68230,OMCL,-63828
68246,MOG.A,6773
68262,CAR,-44944
68404,UAMY,206178
68447,CHH,-8671
68461,RJF,22931
68473,CSR,-30748
68475,TTMI,26292
68509,AZZ,4157
68513,CUBE,10278
68519,MIDD,16271
68522,GGG,11551
68526,WT,20238
68567,DEI,9415
68578,IART,-17340
68606,AER,9816
68629,EOG,6623
68644,XRAY,10970
68650,AGX,23414
68669,CHDN,-53730
68768,ADEA,959
68826,AGO,31920
68904,MNKD,-13732
68958,INSM,-601
68990,SHO,15533
69030,QUBT,103475
69073,ATRC,35966
69189,AAP,-17371
69204,SYNA,2260
69333,RIOT,-28124
69444,AXS,36056
69527,CHKP,4785
69543,SSB,-3166
69564,CHRW,-32937
69570,LAMR,4973
69583,WLFC,22069
69598,VSAT,-9493
69660,EIX,-12755
69661,AVT,33775
69663,CPB,13994
69664,BMY,2116
69665,FMC,-24704
69670,ASH,-4490
69671,SHW,297
69672,GWW,-7391
69676,LEG,-1889
69680,EXPD,-9369
69686,KEY,36815
69689,ABT,34848
69690,MTZ,872
69692,ABM,25072
69695,ADM,14919
69698,SXI,7289
69708,TGT,6403
69710,DDS,2327
69711,LPX,-8314
69718,CECO,6038
69724,BBWI,9727
69732,BEN,19899
69735,WWD,1626
69738,SBR,-27168
69740,TILE,23083
69744,SLM,38284
69750,CASY,58296
69755,CMCSA,11778
69763,HWKN,-5980
69769,BIO,-4738
69772,KLAC,23490
69859,COHR,43974
69869,TECH,46904
69882,RRC,14486
69887,EXPO,-7920
69897,RDNT,-6422
69901,AZO,-52101
69904,HAE,32583
69907,CRVL,-2398
69957,AEE,2494
69980,MAR,-44680
69990,MANH,43597
69999,MSTR,-48159
70064,BKNG,7772
70074,WCC,31601
70087,ADSK,24938
70120,HSIC,-4985
70122,WAT,12775
70159,WAL,8069
70252,MA,-26488
70269,STE,18291
70270,DHI,7075
70273,PRMB,170358
70285,HOV,-33860
70294,TX,175
70304,BANF,3548
70307,ORLY,3857
70312,AKR,2155
70317,BYD,14657
70338,LMAT,21418
70356,DAKT,6383
70369,TNL,21441
70451,JJSF,-6383
70459,IEP,-110944
70469,CALM,10941
70485,MOH,-49484
70569,BGC,17099
70617,NRG,18573
70699,WTI,-10640
70848,MLM,8097
70925,ZBH,23643
70960,ELV,-33019
71049,LMT,10718
71055,COR,20311
71287,NEOG,-41018
71288,DGII,29872
71290,BLFS,-66580
71301,MMSI,29961
71316,IONS,-69066
71322,IDXX,14163
71332,TTEK,1628
71386,COLM,-15722
71388,LNG,-15592
71412,DOX,20349
71454,EPD,-44091
71461,KFY,21808
71484,UTHR,5120
71490,OSK,-31782
71492,TROW,24119
71508,CCL,36931
71532,SAM,-14514
71540,HIG,9796
71590,DXPE,15018
71596,MTN,8215
71617,DMC,2605
71618,GERN,299681
71623,EG,39444
71659,CROX,22272
71672,RIG,588
71685,MHK,-4332
71693,CENT,12245
71700,LTC,-4180
71734,CB,-5851
71735,GILT,10874
71775,FRO,56838
71789,FLG,-58177
71822,XPEL,-93406
71833,GSAT,-8688
71836,SBH,5766
71932,GNTX,19845
71939,IBOC,22153
71981,STBA,18795
71986,SFNC,-67620
72001,DCOM,4460
72004,NTGR,-81501
72168,MET,2924
72195,WLK,-46585
72234,ISRG,-86773
72316,EYPT,-30961
72380,AEO,-5601
72412,GPN,10146
72457,BG,-39293
72548,HLIT,-2101
72558,NFLX,-21169
72573,OVV,11784
72600,FLR,5866
72629,RUSHA,11712
72671,CEVA,-11328
72846,BXP,-29161
72872,CMS,17349
72874,SRE,-11810
72877,NFG,5457
72878,IP,51671
72881,APD,25469
72882,CSL,9022
72883,MAS,-6658
72884,ROL,-56172
72885,DCI,26997
72886,DCO,-2659
72888,GIS,25756
72890,HUBB,-8527
72891,FELE,14909
72893,R,-8298
72900,MGEE,7241
72902,LNT,9464
72903,AGYS,-5832
72908,KR,15433
72910,LXU,-13184
72915,SCI,-19599
72918,SR,68058
72919,HRL,21407
72920,AVY,-8530
72922,PVH,-1491
72928,BC,-27393
72937,WEN,1171
72940,TYL,-24938
72943,AIR,11332
72951,WDFC,-24086
72952,AMD,30321
72973,RF,41293
72976,ZION,34325
72977,FDX,7289
72979,MHO,19125
72981,AEM,10400
72983,BRK.A,1072670
72988,MOD,23450
72990,AAPL,-71000
73061,CQP,-69698
73113,BR,30204
73264,SMCI,-2813
74139,TMUS,14127
74209,CNK,-14643
74213,TFSL,-21315
74240,HROW,-24398
74302,DAL,13606
74442,IBKR,38328
74538,ACM,-19711
74604,TRS,-4976
74660,PODD,4912
136431,JAZZ,45761
136643,LULU,11603
136743,ENSG,10131
136748,MAIN,-4818
137115,TEL,-55519
137341,BX,-26289
137411,GRBK,25537
137887,PSIX,13918
138373,G,69391
138494,MELI,18970
139032,TDC,35283
139836,CVI,2396
139857,ULTA,6118
140095,APEI,27709
140169,NMM,-21259
140201,MSCI,-40851
140224,CIM,-36319
147424,SBLK,22260
147427,ARR,15491
147429,IVZ,9461
147746,FOR,-27891
147750,TWO,-49841
147786,TNK,30146
147787,LRN,3679
148533,ECHO,-30543
148710,BIP,-95509
149055,DAN,16741
149659,SLS,34100
149690,PM,7609
149752,V,14483
149782,IRDM,64113
150187,AWK,10105
150254,SW,23439
151431,KDP,43446
151798,ENOV,944
151923,AGNC,11306
152751,ERII,-12521
153004,JBTM,-7626
153451,MYRG,28219
153452,TREE,-106545
153495,GSL,24637
169130,SIG,18070
169204,HCI,37218
170478,LOPE,8570
170967,VRTS,-22663
174045,IVR,6701
182723,IOVA,-8787
196789,AVGO,5900
209869,OMER,-85794
213845,PMT,-20120
213945,STWD,-2277
214872,ARI,-910
215062,VRSK,43866
215556,ADUS,19388
216044,H,-26415
216197,LEA,-7288
216209,DG,22824
216562,FTNT,44650
217232,CHTR,-1460
217737,PEB,-10090
217855,OPLN,20378
218471,PPC,16274
228976,TRNO,12203
228982,PDM,-11551
229000,GNRC,-55756
229001,QNST,14289
229496,ST,25001
230039,MXL,-16356
230040,CALX,-12531
230074,FIBK,20435
230093,HTHT,-25730
230189,SSNC,42108
230233,PRI,27812
230289,STNG,-1825
230574,GBDC,-53592
230821,SPSC,3502
230971,LYB,28168
231025,AOSL,-43872
231323,CRMD,98672
231337,JKS,-98628
232337,FAF,29294
234475,CBOE,6951
234659,VPG,-13394
234679,FN,38046
234767,TSLA,-24265
235005,BWXT,16609
235089,KKR,-22239
241195,AMRC,-67201
241473,NXPI,2403
241600,MMYT,26219
242608,VC,22072
242627,DQ,-118431
242655,EFC,10918
242870,TAL,-113602
243193,CMRE,10769
243265,HHH,-35101
243505,BAH,16558
243526,GM,30156
243544,LPLA,27587
244033,TRGP,5132
244403,CPAY,-13797
244407,WD,-124678
247036,AAT,7901
248046,BKU,-33394
248049,AGRO,14828
248823,PCRX,5581
249020,KMI,1835
249420,TROX,-3780
249641,HCA,-4277
249919,HII,32044
250122,APO,-26117
250329,UAN,-24490
250625,ARCO,77772
250664,STAG,-4713
250829,VNET,-40852
251185,KOS,19799
251186,RLJ,13239
251534,NBIS,17814
252173,MPC,14155
254268,ZG,-6332
254453,CHEF,-82477
255406,FBIN,-6033
255914,XYL,-18697
255979,UI,-19570
257167,ACHC,-43376
257955,GRPN,-15923
257991,VAC,-5899
258464,APTV,3649
258717,TRIP,8289
258877,CPRI,-21107
259401,GWRE,43491
259430,POST,-5928
259497,MTDR,-36013
259581,EPAM,-135460
259632,MARA,-41677
